id,release_date,movie,production_budget,domestic_gross,worldwide_gross,Unnamed: 0,genre_ids,popularity,title,vote_average,vote_count,weighted_rating
38,2013-11-22,The Hunger Games: Catching Fire,130000000,424668047,864868047,7970,"Drama, History",12.389,Dallas Buyers Club,7.9,4961,7.523364436386744
65,2013-11-22,Philomena,12000000,37709979,98963392,7893,"Adventure, Action, Science Fiction",20.187,The Hunger Games: Catching Fire,7.4,11170,7.294255771212058
65,2013-11-22,Philomena,12000000,37709979,98963392,7970,"Drama, History",12.389,Dallas Buyers Club,7.9,4961,7.523364436386744
21,2013-11-22,Delivery Man,22000000,30659817,70536870,7893,"Adventure, Action, Science Fiction",20.187,The Hunger Games: Catching Fire,7.4,11170,7.294255771212058
21,2013-11-22,Delivery Man,22000000,30659817,70536870,7970,"Drama, History",12.389,Dallas Buyers Club,7.9,4961,7.523364436386744
44,2018-06-15,Incredibles 2,200000000,608581744,1242520711,23826,"Action, Adventure, Animation, Family",36.286,Incredibles 2,7.6,6354,7.375668620705032
50,2018-06-15,Tag,28000000,54730625,77026186,23826,"Action, Adventure, Animation, Family",36.286,Incredibles 2,7.6,6354,7.375668620705032
64,2018-06-15,Gotti,10000000,4286367,6089100,23826,"Action, Adventure, Animation, Family",36.286,Incredibles 2,7.6,6354,7.375668620705032
23,2017-04-14,The Fate of the Furious,250000000,225764765,1234846267,20630,"Action, Crime, Thriller",28.668000000000006,The Fate of the Furious,6.9,6335,6.900171856247977
82,2017-04-14,The Lost City of Z,30000000,8574339,17121823,20630,"Action, Crime, Thriller",28.668000000000006,The Fate of the Furious,6.9,6335,6.900171856247977
22,2017-04-14,Queen of the Desert,36000000,0,1578543,20630,"Action, Crime, Thriller",28.668000000000006,The Fate of the Furious,6.9,6335,6.900171856247977
48,2013-05-03,Iron Man 3,200000000,408992272,1215392272,7881,"Action, Adventure, Science Fiction",32.093,Iron Man 3,6.9,14155,6.900093516646741
81,2013-05-03,The Iceman,10000000,1930282,3623609,7881,"Action, Adventure, Science Fiction",32.093,Iron Man 3,6.9,14155,6.900093516646741
11,2013-05-03,"Cinco de Mayo, La Batalla",10000000,173472,173472,7881,"Action, Adventure, Science Fiction",32.093,Iron Man 3,6.9,14155,6.900093516646741
64,2013-05-03,Aroused,150000,0,0,7881,"Action, Adventure, Science Fiction",32.093,Iron Man 3,6.9,14155,6.900093516646741
73,2015-07-10,Minions,74000000,336045770,1160336173,14351,"Family, Animation, Adventure, Comedy",9.338,Minions,6.4,7343,6.545180728809327
80,2015-07-10,The Gallows,100000,22764410,41656474,14351,"Family, Animation, Adventure, Comedy",9.338,Minions,6.4,7343,6.545180728809327
48,2015-07-10,Self/Less,26000000,12279691,33667319,14351,"Family, Animation, Adventure, Comedy",9.338,Minions,6.4,7343,6.545180728809327
21,2015-07-10,Baahubali: The Beginning,40000000,6738000,26736665,14351,"Family, Animation, Adventure, Comedy",9.338,Minions,6.4,7343,6.545180728809327
27,2015-07-10,Strangerland,10000000,17472,161097,14351,"Family, Animation, Adventure, Comedy",9.338,Minions,6.4,7343,6.545180728809327
36,2018-12-21,Aquaman,160000000,335061807,1146894640,23824,"Action, Adventure, Fantasy",38.102,Aquaman,6.8,6155,6.83294421388038
62,2018-12-21,Bumblebee,102000000,127195589,465195589,23824,"Action, Adventure, Fantasy",38.102,Aquaman,6.8,6155,6.83294421388038
83,2018-12-21,Second Act,15700000,39282227,63288854,23824,"Action, Adventure, Fantasy",38.102,Aquaman,6.8,6155,6.83294421388038
18,2018-12-21,Welcome to Marwen,45000000,10763520,12874922,23824,"Action, Adventure, Fantasy",38.102,Aquaman,6.8,6155,6.83294421388038
17,2016-05-06,Captain America: Civil War,250000000,408084349,1140069413,17382,"Adventure, Action, Science Fiction",39.137,Captain America: Civil War,7.4,14000,7.311859075180874
12,2016-05-06,Dheepan,9000000,248795,7704357,17382,"Adventure, Action, Science Fiction",39.137,Captain America: Civil War,7.4,14000,7.311859075180874
47,2016-05-06,Code of Honor,8000000,0,0,17382,"Adventure, Action, Science Fiction",39.137,Captain America: Civil War,7.4,14000,7.311859075180874
37,2014-06-27,Transformers: Age of Extinction,210000000,245439076,1104039076,11045,"Science Fiction, Action, Adventure",20.961,Transformers: Age of Extinction,5.8,4805,6.223011438574615
27,2014-06-27,Snowpiercer,40000000,4563029,88069880,11045,"Science Fiction, Action, Adventure",20.961,Transformers: Age of Extinction,5.8,4805,6.223011438574615
91,2014-06-27,Begin Again,8000000,16170632,68838736,11045,"Science Fiction, Action, Adventure",20.961,Transformers: Age of Extinction,5.8,4805,6.223011438574615
58,2014-06-27,They Came Together,3000000,0,82780,11045,"Science Fiction, Action, Adventure",20.961,Transformers: Age of Extinction,5.8,4805,6.223011438574615
11,2012-07-20,The Dark Knight Rises,275000000,448139099,1084439099,5182,"Action, Crime, Drama, Thriller",26.22,The Dark Knight Rises,7.7,13933,7.558359669171137
10,2012-07-20,Burn,225000,1109276,1109276,5182,"Action, Crime, Drama, Thriller",26.22,The Dark Knight Rises,7.7,13933,7.558359669171137
45,2016-12-16,Rogue One: A Star Wars Story,200000000,532177324,1049102856,17401,"Action, Adventure, Science Fiction",21.401,Rogue One: A Star Wars Story,7.5,9296,7.353741401925412
45,2016-12-16,Rogue One: A Star Wars Story,200000000,532177324,1049102856,17486,"Drama, Romance",12.857,Collateral Beauty,7.2,3270,7.05671519586521
