id,release_date,movie,production_budget,domestic_gross,worldwide_gross,genre_ids,popularity,title,vote_average,vote_count
5,2017-12-15,Star Wars Ep. VIII: The Last Jedi,317000000,620181382,1316721747,"Fantasy, Adventure, Science Fiction, Action",34.293,Star Wars: The Last Jedi,7.0,8534
5,2017-12-15,Star Wars Ep. VIII: The Last Jedi,317000000,620181382,1316721747,"Animation, Family, Adventure, Comedy",19.479,Ferdinand,7.1,1425
5,2017-12-15,Star Wars Ep. VIII: The Last Jedi,317000000,620181382,1316721747,Romance,8.323,Christmas Inheritance,6.5,444
5,2017-12-15,Star Wars Ep. VIII: The Last Jedi,317000000,620181382,1316721747,"Action, Science Fiction, Adventure, Horror",4.043,Beyond Skyline,4.9,523
14,2017-12-15,Ferdinand,111000000,84410380,289847930,"Fantasy, Adventure, Science Fiction, Action",34.293,Star Wars: The Last Jedi,7.0,8534
14,2017-12-15,Ferdinand,111000000,84410380,289847930,"Animation, Family, Adventure, Comedy",19.479,Ferdinand,7.1,1425
14,2017-12-15,Ferdinand,111000000,84410380,289847930,Romance,8.323,Christmas Inheritance,6.5,444
14,2017-12-15,Ferdinand,111000000,84410380,289847930,"Action, Science Fiction, Adventure, Horror",4.043,Beyond Skyline,4.9,523
13,2018-06-22,Jurassic World: Fallen Kingdom,170000000,417719760,1305772799,"Action, Adventure, Science Fiction",34.958,Jurassic World: Fallen Kingdom,6.5,5995
13,2018-06-22,Jurassic World: Fallen Kingdom,170000000,417719760,1305772799,"Horror, Mystery, Thriller",14.781,Ghostland,7.2,764
56,2013-11-22,Frozen,150000000,400738009,1272469910,"Adventure, Action, Science Fiction",20.187,The Hunger Games: Catching Fire,7.4,11170
56,2013-11-22,Frozen,150000000,400738009,1272469910,"Drama, History",12.389,Dallas Buyers Club,7.9,4961
56,2013-11-22,Frozen,150000000,400738009,1272469910,Comedy,7.9620000000000015,Delivery Man,6.2,858
56,2013-11-22,Frozen,150000000,400738009,1272469910,"Horror, Thriller",7.342,Contracted,5.2,259
38,2013-11-22,The Hunger Games: Catching Fire,130000000,424668047,864868047,"Adventure, Action, Science Fiction",20.187,The Hunger Games: Catching Fire,7.4,11170
38,2013-11-22,The Hunger Games: Catching Fire,130000000,424668047,864868047,"Drama, History",12.389,Dallas Buyers Club,7.9,4961
38,2013-11-22,The Hunger Games: Catching Fire,130000000,424668047,864868047,Comedy,7.9620000000000015,Delivery Man,6.2,858
38,2013-11-22,The Hunger Games: Catching Fire,130000000,424668047,864868047,"Horror, Thriller",7.342,Contracted,5.2,259
65,2013-11-22,Philomena,12000000,37709979,98963392,"Adventure, Action, Science Fiction",20.187,The Hunger Games: Catching Fire,7.4,11170
65,2013-11-22,Philomena,12000000,37709979,98963392,"Drama, History",12.389,Dallas Buyers Club,7.9,4961
65,2013-11-22,Philomena,12000000,37709979,98963392,Comedy,7.9620000000000015,Delivery Man,6.2,858
65,2013-11-22,Philomena,12000000,37709979,98963392,"Horror, Thriller",7.342,Contracted,5.2,259
21,2013-11-22,Delivery Man,22000000,30659817,70536870,"Adventure, Action, Science Fiction",20.187,The Hunger Games: Catching Fire,7.4,11170
21,2013-11-22,Delivery Man,22000000,30659817,70536870,"Drama, History",12.389,Dallas Buyers Club,7.9,4961
21,2013-11-22,Delivery Man,22000000,30659817,70536870,Comedy,7.9620000000000015,Delivery Man,6.2,858
21,2013-11-22,Delivery Man,22000000,30659817,70536870,"Horror, Thriller",7.342,Contracted,5.2,259
35,2017-03-17,Beauty and the Beast,160000000,504014165,1259199706,Horror,9.291,The Devil's Candy,6.3,342
35,2017-03-17,Beauty and the Beast,160000000,504014165,1259199706,"Crime, Drama",11.001,T2 Trainspotting,7.0,1741
35,2017-03-17,Beauty and the Beast,160000000,504014165,1259199706,"Drama, Music, Romance",6.922999999999999,Song to Song,5.3,472
40,2017-03-17,T2: Trainspotting,18000000,2402004,42091262,Horror,9.291,The Devil's Candy,6.3,342
40,2017-03-17,T2: Trainspotting,18000000,2402004,42091262,"Crime, Drama",11.001,T2 Trainspotting,7.0,1741
40,2017-03-17,T2: Trainspotting,18000000,2402004,42091262,"Drama, Music, Romance",6.922999999999999,Song to Song,5.3,472
21,2017-03-17,The Belko Experiment,5000000,10166820,11792942,Horror,9.291,The Devil's Candy,6.3,342
21,2017-03-17,The Belko Experiment,5000000,10166820,11792942,"Crime, Drama",11.001,T2 Trainspotting,7.0,1741
21,2017-03-17,The Belko Experiment,5000000,10166820,11792942,"Drama, Music, Romance",6.922999999999999,Song to Song,5.3,472
44,2018-06-15,Incredibles 2,200000000,608581744,1242520711,"Action, Adventure, Animation, Family",36.286,Incredibles 2,7.6,6354
44,2018-06-15,Incredibles 2,200000000,608581744,1242520711,"Crime, Drama, History, Thriller",10.034,Gotti,5.2,231
44,2018-06-15,Incredibles 2,200000000,608581744,1242520711,"Animation, Family, Fantasy",9.721,Bao,7.7,448
50,2018-06-15,Tag,28000000,54730625,77026186,"Action, Adventure, Animation, Family",36.286,Incredibles 2,7.6,6354
50,2018-06-15,Tag,28000000,54730625,77026186,"Crime, Drama, History, Thriller",10.034,Gotti,5.2,231
50,2018-06-15,Tag,28000000,54730625,77026186,"Animation, Family, Fantasy",9.721,Bao,7.7,448
