genre_ids,popularity,release_date,title,vote_average,vote_count
"Comedy, Romance, Drama",11.806,2010-10-02,Life As We Know It,6.8,1748
"Drama, Thriller",11.624,2010-05-20,Fair Game,6.6,384
"Comedy, Music, TV Movie",11.542,2010-09-03,Camp Rock 2: The Final Jam,6.1,878
"War, Action, Adventure, Drama, Thriller",11.519,2010-03-11,Green Zone,6.4,1176
"Action, Adventure, Animation",11.498,2010-02-23,Justice League: Crisis on Two Earths,7.2,277
"Drama, Romance",11.453,2010-03-12,Remember Me,7.1,2079
"Adventure, Drama, Thriller",11.435,2010-11-05,127 Hours,7.0,4469
"Comedy, Horror",11.302,2010-08-20,Piranha 3D,5.3,1029
"Adventure, Drama, Action, Fantasy",11.26,2010-07-16,Valhalla Rising,6.0,582
"Crime, Drama, Mystery, Thriller",11.252,2010-01-29,Edge of Darkness,6.3,794
"Comedy, Romance",11.187000000000001,2010-02-11,Valentine's Day,5.8,1907
"Romance, Drama, Thriller, Crime",11.147,2010-11-19,The Next Three Days,7.0,1469
"Drama, Thriller, Mystery",10.888,2010-09-24,Buried,6.6,1487
"Comedy, Adventure, Family, Fantasy",10.767999999999999,2010-12-25,Gulliver's Travels,5.1,1282
"Animation, Adventure, Family, Fantasy",10.754000000000001,2010-09-24,Legend of the Guardians: The Owls of Ga'Hoole,6.6,1223
"Action, Comedy, Family",10.745999999999999,2010-01-15,The Spy Next Door,5.7,650
"Comedy, Documentary, Action",10.715,2010-10-15,Jackass 3D,6.3,655
"Adventure, Animation, Family, Comedy",10.614,2010-01-25,Open Season 3,5.5,237
"Comedy, Drama, Romance",10.595,2010-11-10,Morning Glory,6.3,717
"Thriller, Crime, Drama, Action",10.555,2010-04-30,Harry Brown,6.8,505
"Comedy, Family, Action, Fantasy",10.544,2010-07-30,Cats & Dogs: The Revenge of Kitty Galore,4.9,273
Drama,10.395,2010-12-17,The Fighter,7.3,2325
"Action, Thriller, Romance",10.307,2010-12-10,The Tourist,6.1,3133
Science Fiction,10.274000000000001,1956-03-15,Forbidden Planet,7.3,388
"Animation, Family, Fantasy",10.252,2010-03-01,Barbie in A Mermaid Tale,6.7,282
"Action, Comedy, Thriller, Romance",10.221,2010-06-04,Killers,5.8,1314
"Comedy, Romance",10.208,2010-09-24,You Again,6.2,734
"Horror, Mystery, Thriller",10.203,2010-09-17,Devil,5.9,1516
"Action, Adventure, Crime, Mystery, Thriller",10.202,2010-04-23,The Losers,6.2,844
"Drama, Thriller, Crime, Mystery",10.187999999999999,2010-08-13,Animal Kingdom,6.8,399
"Drama, Crime",10.177,2010-09-20,Wall Street: Money Never Sleeps,6.0,797
"Drama, Thriller, Science Fiction",10.175,2010-10-29,Monsters,6.2,848
"Science Fiction, Comedy, Adventure",10.15,2010-03-26,Hot Tub Time Machine,6.0,1383
"Animation, Comedy, Family, Crime, Mystery",10.1,2010-02-19,A Matter of Loaf and Death,7.2,219
"Drama, Comedy, Romance",10.09,2010-11-24,Love & Other Drugs,6.9,2509
"Fantasy, Drama, Family",10.068,2010-06-25,16 Wishes,5.9,688
"Drama, Romance, Science Fiction",10.012,2010-09-15,Never Let Me Go,6.8,1294
"Comedy, Drama",10.01,2010-10-08,It's Kind of a Funny Story,7.0,1324
Drama,9.991,2010-08-12,Eat Pray Love,6.0,1208
"Comedy, Drama, Romance",9.986,2010-05-27,Sex and the City 2,5.9,809
"Comedy, Crime, Drama",9.968,2010-11-05,Four Lions,7.0,621
"Comedy, Fantasy, Romance",9.926,2010-01-29,When in Rome,5.9,703
"Action, Comedy, Drama",9.861,2010-03-19,The Bounty Hunter,5.7,1627
Drama,9.824,2010-06-11,Winter's Bone,6.9,931
"Drama, Horror, Mystery, Thriller",9.808,2010-10-08,My Soul to Take,5.4,247
"Horror, Mystery, Thriller",9.795,2010-04-30,A Nightmare on Elm Street,5.5,1408
"Romance, Drama",9.781,2010-08-06,Flipped,7.4,859
"Drama, Horror, Mystery",9.716000000000001,2010-10-01,Let Me In,6.7,1061
"Drama, Thriller",9.693,2010-06-15,Unthinkable,6.7,623
Thriller,9.677999999999999,2010-02-05,Frozen,5.8,987
"Fantasy, Drama",9.562999999999999,2010-09-24,Enter the Void,7.3,773
Documentary,9.514,2010-10-08,Inside Job,7.8,466
"Crime, Thriller",9.496,2010-09-23,Mother's Day,6.4,193
"Horror, Thriller",9.467,1976-11-03,Carrie,7.1,1766
"Drama, Romance",9.454,2010-05-01,Charlie St. Cloud,6.9,1398
"Comedy, Family",9.45,2010-04-02,Furry Vengeance,4.6,283
"Comedy, Romance, TV Movie, Music",9.406,2010-02-14,Starstruck,6.7,627
"Romance, Comedy",9.405,2010-04-18,Beauty & the Briefcase,5.5,250
"Drama, Horror, Mystery, Thriller",9.395,2009-11-07,After.Life,5.7,416
"Comedy, Drama, Romance",9.394,2010-05-14,Letters to Juliet,6.9,1706
Drama,9.389,2010-12-16,Rabbit Hole,6.8,292
"Action, Comedy",9.355,2010-10-29,Wild Target,6.4,356
"Horror, Drama, Thriller",9.35,2010-08-27,The Last Exorcism,5.6,519
"Thriller, Drama",9.261000000000001,2010-07-15,The Experiment,6.5,553
"Drama, Family, Romance",9.237,2010-03-31,The Last Song,7.2,2199
"Comedy, Horror",9.158999999999999,2010-01-22,Tucker and Dale vs. Evil,7.3,1427
"Comedy, Family, Animation, Adventure",9.096,2010-12-17,Yogi Bear,5.3,387
"Crime, Drama, Thriller",9.087,2010-04-30,The Disappearance of Alice Creed,6.6,280
Drama,9.059,2010-10-08,Secretariat,7.0,200
"Crime, Drama, Thriller",9.042,2010-09-01,The American,5.8,690
"Drama, Romance",8.994,2010-12-29,Blue Valentine,6.9,1677
"Comedy, Horror",8.992,2010-08-18,Vampires Suck,4.1,658
"Action, Crime, Drama, Thriller",8.969,2010-08-26,Takers,6.2,605
"Animation, Comedy, Science Fiction",8.956,2010-05-23,"Family Guy Presents: Something, Something, Something, Dark Side",7.1,194
"Action, Adventure, Animation, Family, Science Fiction",8.884,2010-09-28,Superman/Batman: Apocalypse,7.0,291
"Science Fiction, Action",8.847000000000001,2010-11-12,Skyline,4.8,833
"Action, Comedy, Crime",8.82,2010-02-26,Cop Out,5.4,796
"Drama, Thriller, Mystery",8.807,2010-03-26,Chloe,5.9,940
"Drama, Horror, Science Fiction",8.799,2010-10-01,Stake Land,6.2,415
"Adventure, Horror, Thriller",8.741,2010-04-27,The Descent: Part 2,6.0,480
Documentary,8.696,2010-01-24,Exit Through the Gift Shop,7.7,467
"Drama, Romance",8.676,2010-11-23,Burlesque,7.1,1195
"Family, Comedy",8.487,2010-06-04,Marmaduke,5.1,367
Comedy,8.485,2010-06-04,Get Him to the Greek,5.9,980
"Drama, Crime",8.469,2010-11-12,London Boulevard,5.9,409
"Comedy, Drama",8.426,2010-07-09,The Kids Are All Right,6.6,854
"Fantasy, Horror, Thriller",8.405,2010-11-06,Don't Be Afraid of the Dark,5.5,550
"Drama, Thriller",8.401,2010-10-22,Stone,5.2,334
Drama,8.347999999999999,2010-10-29,Welcome to the Rileys,6.5,241
"Comedy, Drama, Fantasy, Horror, Mystery",8.318999999999999,2010-09-01,Rubber,5.9,417
"Comedy, Drama, Romance",8.281,2010-09-03,Going the Distance,6.0,394
"Adventure, Fantasy, Action, Western, Thriller",8.259,2010-12-03,The Warrior's Way,6.1,203
"Drama, Romance",8.244,2010-09-18,Last Night,6.1,444
"Drama, Music",8.19,2010-03-19,The Runaways,6.4,448
"Horror, Thriller",8.163,2010-10-21,Paranormal Activity 2,5.7,1342
Drama,8.109,2010-10-21,The Company Men,6.6,349
"Animation, Family, Comedy, Adventure, Romance",8.107999999999999,2010-09-17,Alpha and Omega,5.4,227
"TV Movie, Drama, Family, Fantasy",8.097999999999999,2010-11-12,Avalon High,6.1,313
"Horror, Thriller",8.086,2010-10-05,30 Days of Night: Dark Days,4.7,218
"Drama, Thriller",8.007,2010-03-12,13,5.7,392
"Horror, Science Fiction",7.9639999999999995,2010-05-28,Survival of the Dead,4.8,199
