genre_ids,popularity,release_date,title,vote_average,vote_count
"Drama, War",10.378,2011-12-25,War Horse,7.2,1849
"Drama, Thriller",10.352,2011-11-23,A Dangerous Method,6.3,1066
"Drama, Romance, Comedy",10.322000000000001,2011-06-17,Beginners,6.9,532
"Drama, Romance",10.308,2011-08-19,One Day,7.2,2105
"Drama, Music, Romance",10.269,2011-10-14,Footloose,6.6,929
"Romance, Adventure, Action, History",10.202,2011-07-08,Ironclad,6.1,373
"Comedy, Drama",10.181000000000001,2011-12-16,Carnage,7.1,1478
"Action, Comedy, Thriller, Crime",10.177,2011-07-29,The Guard,6.9,563
"Drama, Comedy, Romance",10.155,2011-10-14,The Artist,7.4,1787
"Drama, Fantasy, Romance, Science Fiction",10.136000000000001,2011-03-04,Beastly,6.1,1748
Drama,10.127,2011-10-07,The Ides of March,6.7,1405
Comedy,10.123,2011-11-04,A Very Harold & Kumar Christmas,6.0,496
"Family, Animation, Fantasy",10.115,2011-09-13,Barbie: Princess Charm School,6.9,276
"Drama, Romance",10.091000000000001,2011-10-28,Like Crazy,6.5,638
"Drama, Science Fiction",10.03,2011-07-22,Another Earth,6.7,853
"Action, Thriller, Mystery",10.015,2011-11-06,Haywire,5.6,747
"Family, Comedy, Action",10.009,2011-08-19,Spy Kids: All the Time in the World,4.6,487
"Comedy, Romance",9.984,2011-02-25,Hall Pass,5.5,1009
"Animation, Family",9.935,2011-06-24,Hawaiian Vacation,6.8,267
"Drama, Comedy, Family",9.931000000000001,2011-12-23,We Bought a Zoo,6.7,1523
Drama,9.828,2011-12-24,Extremely Loud & Incredibly Close,7.0,1231
"Action, Drama, Horror, Mystery, Thriller",9.818999999999999,2011-03-11,Black Death,5.9,425
"Comedy, Romance",9.805,2011-05-13,Bridesmaids,6.5,2783
"Action, Thriller, Adventure",9.709,2011-04-08,Hanna,6.6,1944
"Drama, Thriller, Horror",9.676,2011-01-28,The Rite,5.9,994
Horror,9.669,2011-10-21,Paranormal Activity 3,5.9,1197
"Animation, Action, Adventure",9.627,2011-02-22,All Star Superman,6.8,196
"Action, Comedy, Science Fiction",9.612,2011-07-29,Attack the Block,6.4,1144
"Action, Drama, Crime",9.531,2011-10-28,The Double,5.9,341
"Comedy, Drama",9.517999999999999,2011-01-13,The Dilemma,5.3,448
"Crime, Drama, Action, Thriller, Science Fiction",9.502,2011-07-19,TEKKEN,5.1,329
"Thriller, Drama",9.498,2011-10-21,Margin Call,6.8,856
"Animation, Family",9.485,2011-03-25,A Turtle's Tale: Sammy's Adventures,5.8,318
"Drama, Thriller",9.477,2011-10-21,Martha Marcy May Marlene,6.7,413
"Crime, Drama",9.413,2011-11-23,Rampart,5.5,189
Comedy,9.37,2009-03-20,"I Love You, Man",6.5,897
"Drama, Horror",9.219,2011-10-14,The Woman,6.0,229
"Animation, Comedy, Family, TV Movie",9.203,2011-08-05,Phineas and Ferb the Movie: Across the 2nd Dimension,6.6,226
Drama,9.15,2011-02-04,The Other Woman,6.2,220
"Action, Thriller, Crime",9.12,2011-09-23,Machine Gun Preacher,6.5,477
"Adventure, Action, Thriller, Crime",9.104,2011-04-09,A Lonely Place to Die,6.1,251
"Action, Adventure, Animation, Family, Fantasy, Comedy",9.078,2011-10-28,Puss in Boots,6.3,1422
"Drama, Comedy",9.052999999999999,2011-04-15,Lemonade Mouth,7.2,485
"Drama, Thriller, Mystery",9.047,2011-09-30,Dream House,6.0,670
"Drama, Comedy",9.015,2011-03-18,Win Win,6.9,266
"History, Drama",8.987,2011-12-30,The Iron Lady,6.4,899
"Animation, Family, Fantasy",8.98,2011-03-15,Barbie: A Fairy Secret,6.1,197
"Family, Comedy",8.961,2011-03-25,Diary of a Wimpy Kid: Rodrick Rules,6.4,492
"Adventure, Animation, Family",8.852,2011-03-11,Mars Needs Moms,5.7,299
"Crime, Action, Thriller",8.844,2011-05-06,Hobo with a Shotgun,5.9,300
Comedy,8.84,2011-10-14,A Few Best Men,5.8,247
"Drama, Comedy",8.821,2011-09-13,"Jeff, Who Lives at Home",6.2,320
"Drama, Thriller",8.749,2011-09-16,Straw Dogs,5.7,255
Comedy,8.706,2011-08-20,The Inbetweeners Movie,6.2,517
"Drama, Romance",8.695,2011-06-17,The Art of Getting By,6.5,752
"Drama, Crime, History",8.628,2011-11-09,J. Edgar,6.2,1303
"Documentary, Music, Family",8.602,2011-02-11,Justin Bieber: Never Say Never,5.1,240
Comedy,8.533999999999999,2011-01-23,Mean Girls 2,5.1,661
"Comedy, Drama",8.523,2011-08-26,Our Idiot Brother,6.1,527
"Drama, Thriller, Crime, Mystery",8.517000000000001,2011-10-14,Texas Killing Fields,5.8,237
"Horror, Thriller",8.494,2011-12-30,The Innkeepers,5.5,324
"Thriller, Horror",8.475,2011-09-09,Grave Encounters,6.2,700
"Family, Action, Drama",8.459,2011-04-08,Soul Surfer,7.0,688
"Adventure, Drama",8.443,2011-02-11,The Eagle,6.1,694
"Horror, Thriller, Science Fiction",8.384,2011-09-02,Apollo 18,5.0,486
"TV Movie, Comedy, Family",8.366,2011-12-02,"Good Luck Charlie, It's Christmas!",6.3,188
"Drama, Science Fiction",8.335,2011-06-24,The Man Who Fell to Earth,6.5,227
"Comedy, Drama",8.335,2011-12-16,Young Adult,5.7,603
"Drama, Romance",8.326,2011-09-22,Weekend,7.5,287
"Comedy, Family",8.292,2011-06-17,Mr. Popper's Penguins,5.8,1554
"Romance, Comedy",8.271,2011-09-16,I Don't Know How She Does It,5.2,231
"Family, Music",8.237,2011-04-19,Sharpay's Fabulous Adventure,5.6,287
"Thriller, Mystery",8.221,2011-02-18,The Resident,5.6,287
"Drama, Romance",8.168,2011-12-02,Sleeping Beauty,5.3,311
"Action, Crime, Drama, Thriller",8.164,2011-11-04,Setup,4.9,225
"Thriller, Drama, Horror",8.134,2011-02-04,The Roommate,5.4,406
"Animation, Comedy, Family",8.131,2011-11-17,Happy Feet Two,5.9,754
"Drama, History, Thriller",8.113999999999999,2011-10-28,Anonymous,6.4,434
"Comedy, Drama, Music",8.009,2011-08-01,Honey 2,6.2,229
Drama,7.972,2011-04-25,Detachment,7.5,606
Drama,7.894,2011-02-12,The Sunset Limited,7.3,196
"Comedy, Romance",7.886,2011-04-08,Arthur,5.5,399
"Horror, Thriller",7.879,2011-09-02,Shark Night 3D,5.0,245
"Comedy, Drama, Romance",7.87,2011-02-03,A Little Bit of Heaven,6.3,333
"Horror, Action, Thriller",7.816,2011-09-23,Red State,6.1,472
"Crime, Drama, Thriller",7.805,2011-04-01,Trust,6.6,556
"Horror, Science Fiction, Drama",7.778,2011-03-13,The Divide,5.9,302
"Drama, Science Fiction, Romance",7.732,2011-01-24,Perfect Sense,6.8,539
"Adventure, Comedy, Drama, Family, TV Movie",7.73,2011-03-25,The Suite Life Movie,5.9,264
"Mystery, Horror, Thriller",7.718999999999999,2011-02-18,Vanishing on 7th Street,5.0,261
Comedy,7.694,2011-02-11,Cedar Rapids,6.0,206
"Action, Adventure, Animation, Crime, Mystery",7.66,2011-10-18,Batman: Year One,7.2,408
"Animation, Fantasy, Comedy, Science Fiction",7.607,2011-05-22,Family Guy Presents: It's a Trap!,6.9,218
"Comedy, Drama, Romance",7.567,2011-05-05,Something Borrowed,6.1,591
"Thriller, Mystery, Crime, Drama",7.547000000000001,2011-10-25,Faces in the Crowd,5.9,234
"Comedy, Crime, Drama",7.518,2012-04-27,Bernie,6.6,503
"Action, Comedy, Horror, Mystery, Science Fiction, Thriller",7.507999999999999,2011-11-01,Dylan Dog: Dead of Night,4.4,243
"Drama, Action, Thriller, Crime, War",7.505,2011-07-29,The Devil's Double,6.7,291
"Comedy, Drama, Romance",7.492999999999999,2011-05-13,Everything Must Go,6.0,301
"Action, Thriller",7.457000000000001,2011-02-04,Sanctum,5.9,515
Comedy,7.43,2011-09-04,Butter,5.8,220
"Drama, Comedy, Romance",7.412000000000001,2011-06-03,Submarine,7.4,770
Documentary,7.41,2011-01-21,Senna,8.3,437
Drama,7.357,2011-05-05,The Beaver,6.3,464
"Mystery, Comedy, Crime",7.33,2011-08-19,Flypaper,6.3,401
"Drama, Romance",7.268,2011-09-16,Restless,6.4,258
"Comedy, Romance, Drama",7.261,2011-06-30,Larry Crowne,5.8,676
"Drama, Romance",7.234,2011-11-18,Tyrannosaur,7.4,213
"Comedy, Drama, Family",7.183,2011-12-03,A Princess For Christmas,6.8,208
Documentary,7.162000000000001,2012-03-09,Jiro Dreams of Sushi,7.9,377
"Action, Crime, Thriller, Drama",7.13,2011-03-11,Kill the Irishman,6.9,274
Comedy,7.077000000000001,2011-10-14,The Big Year,5.8,393
"Horror, Mystery, Science Fiction",7.066,2011-06-16,Quarantine 2: Terminal,5.1,211
"Comedy, Romance",6.9110000000000005,2011-04-29,Prom,6.0,276
"Comedy, Animation, Family",6.906000000000001,2011-04-29,Hoodwinked Too! Hood VS. Evil,5.0,257
"Comedy, Thriller",6.528,2011-08-05,Burke & Hare,6.2,251
"Crime, Drama, History",6.492999999999999,2011-04-15,The Conspirator,6.5,226
Drama,6.277,2011-12-21,Albert Nobbs,6.3,227
"Drama, Romance",6.209,2011-04-22,Water for Elephants,6.9,1627
"Comedy, Romance, Drama",6.191,2011-09-10,The Oranges,5.5,335
"Comedy, Romance",6.037000000000001,2011-02-02,Chalet Girl,6.3,371
"Adventure, Comedy, Drama",5.754,2011-10-07,The Way,7.2,273
Drama,5.574,2011-07-17,Cyberbully,6.3,338
"Action, Science Fiction, Adventure",5.3389999999999995,2011-06-28,Transformers: Dark of the Moon,6.1,4961
"Action, Thriller, Crime",2.097,2011-04-28,Fast Five,7.2,4294
"Action, Science Fiction, Adventure",1.4469999999999998,2011-06-03,X-Men: First Class,7.2,8211
"Science Fiction, Action, Adventure",50.288999999999994,2012-05-04,The Avengers,7.6,19673
"Adventure, Fantasy, Action",26.939,2012-12-14,The Hobbit: An Unexpected Journey,7.2,12076
"Romance, Family, Animation, Fantasy",26.701,2012-01-13,Beauty and the Beast,7.7,5730
"Action, Crime, Drama, Thriller",26.22,2012-07-20,The Dark Knight Rises,7.7,13933
"Action, Comedy, Science Fiction",26.176,2012-05-25,Men in Black 3,6.4,6398
"Science Fiction, Adventure, Mystery",24.98,2012-06-08,Prometheus,6.4,7384
"Comedy, Romance",24.491,1999-07-09,American Pie,6.4,4316
"Action, Adventure, Fantasy",24.391,2012-07-04,The Amazing Spider-Man,6.5,10411
"Family, Animation, Comedy, Adventure",22.967,2012-11-02,Wreck-It Ralph,7.3,7780
"Thriller, Action, Adventure, Science Fiction",21.741999999999997,2012-05-18,Battleship,5.6,3240
"Drama, Western",21.26,2012-12-25,Django Unchained,8.0,15725
"Adventure, Fantasy, Drama",21.233,2012-06-01,Snow White and the Huntsman,5.9,5258
"Drama, Mystery, Thriller, Fantasy",19.903,1997-10-17,The Devil's Advocate,7.3,2622
"Action, Adventure, Thriller",19.27,2012-11-09,Skyfall,7.1,10441
"Drama, Adventure, Romance, TV Movie",18.977999999999998,2012-06-16,Blue Lagoon: The Awakening,6.4,749
"Animation, Adventure, Comedy, Family, Action, Fantasy",18.908,2012-06-22,Brave,6.9,8116
"Animation, Family, Comedy",18.705,2012-06-08,Madagascar 3: Europe's Most Wanted,6.5,3380
"Action, Adventure, Science Fiction",18.549,2012-03-09,John Carter,6.1,3338
"Crime, Drama, Thriller, Action",18.312,2012-12-21,Jack Reacher,6.4,4155
"Horror, Thriller",18.230999999999998,2012-10-23,Wrong Turn 5: Bloodlines,4.9,387
"Action, Thriller",18.05,2012-08-10,The Bourne Legacy,6.1,3630
"Drama, Crime",17.717,1984-06-01,Once Upon a Time in America,8.4,2243
"Animation, Comedy, Adventure, Family",17.537,2012-07-13,Ice Age: Continental Drift,6.3,4598
"Action, Science Fiction, Adventure, Thriller",17.243,2012-08-03,Total Recall,5.9,3486
"Action, Adventure, Thriller",17.215999999999998,2012-08-17,The Expendables 2,6.2,4219
Comedy,17.199,2012-04-06,American Reunion,6.2,2679
"Horror, Action",17.175,1998-08-21,Blade,6.6,3137
"Action, Thriller, Science Fiction",16.779,2012-09-28,Looper,6.8,6723
"Adventure, Fantasy, Drama, Romance",16.542,2012-11-16,The Twilight Saga: Breaking Dawn - Part 2,6.3,5130
"Action, Crime, Thriller",16.078,2012-10-04,Taken 2,6.2,4035
"Comedy, Drama",15.888,1967-12-21,The Graduate,7.7,1545
"Animation, Family, Fantasy, Adventure",15.815999999999999,2012-08-31,Secret of the Wings,6.8,579
"Drama, Thriller",15.793,2012-10-12,Argo,7.2,5127
"Comedy, Fantasy",15.75,2012-05-11,Dark Shadows,5.9,4197
"Action, Animation, Mystery",15.696,2012-09-25,"Batman: The Dark Knight Returns, Part 1",7.7,705
"Action, Crime, Thriller",15.622,2012-04-16,Safe,6.3,1248
"Fantasy, Horror, Action, Thriller",15.507,2002-03-22,Blade II,6.3,2553
Action,15.457,2012-11-02,The Man with the Iron Fists,5.3,573
"Drama, Comedy, Romance",15.350999999999999,2012-12-25,Silver Linings Playbook,7.1,7636
"Animation, Comedy, Family, Fantasy",15.318,2012-09-28,Hotel Transylvania,6.9,5013
Drama,15.148,2012-09-21,The Perks of Being a Wallflower,7.8,5938
"Adventure, Drama, Action",15.0,2012-11-21,Life of Pi,7.3,8723
"Fantasy, Adventure, Action",14.991,2012-03-29,Wrath of the Titans,5.6,2442
"Animation, Family, Fantasy",14.934000000000001,2012-11-21,Rise of the Guardians,7.3,3697
"Action, Comedy, Crime",14.835999999999999,2012-03-12,21 Jump Street,6.8,6527
"Drama, Science Fiction",14.681,2012-10-26,Cloud Atlas,6.8,4505
"Thriller, Drama",14.66,2012-12-04,The Impossible,7.2,3614
"Horror, Thriller",14.658,2012-05-25,Chernobyl Diaries,5.0,842
"Animation, Comedy, Family",14.627,2012-10-05,Frankenweenie,6.8,1685
"Comedy, Fantasy",14.475,2012-06-29,Ted,6.3,7727
"Adventure, Action, Science Fiction",14.454,2012-02-10,Journey 2: The Mysterious Island,5.9,2152
"Action, Drama, Thriller",14.262,2012-03-16,Seeking Justice,5.9,524
"Thriller, Drama, History",14.239,2012-12-19,Zero Dark Thirty,6.9,2553
"Science Fiction, Adventure, Fantasy",14.212,2012-03-23,The Hunger Games,7.1,14587
"Comedy, Drama, Romance",14.085999999999999,2012-05-25,Moonrise Kingdom,7.7,3023
"War, Action, Thriller, Science Fiction",13.904000000000002,2012-11-21,Red Dawn,5.4,849
"Animation, Action, Science Fiction",13.892000000000001,2012-08-28,Starship Troopers: Invasion,5.7,190
"Comedy, Music, Romance",13.886,2012-09-28,Pitch Perfect,7.3,4233
"Crime, Drama, Thriller",13.742,2012-07-27,Killer Joe,6.5,703
"Drama, Comedy",13.7,2012-06-29,Magic Mike,6.1,1850
"Thriller, Horror, Mystery",13.681,2012-10-26,Silent Hill: Revelation 3D,5.2,786
"Family, Animation, Adventure, Comedy",13.32,2012-08-17,ParaNorman,6.8,1358
"Fantasy, Action, Horror",13.242,2012-01-19,Underworld: Awakening,6.2,2588
"Action, Science Fiction",13.222999999999999,2012-09-21,Dredd,6.7,2788
"Adventure, Comedy, Drama, Family, Fantasy",13.220999999999998,2012-03-30,Mirror Mirror,5.8,2099
"Crime, Drama, Thriller",13.152000000000001,2012-09-21,End of Watch,7.3,1770
"Drama, Romance",13.14,2012-04-20,The Lucky One,6.9,2012
"Action, Thriller",13.116,2012-02-10,Safe House,6.4,1997
"Drama, Romance",13.046,2012-02-10,The Vow,7.1,2409
"Animation, Adventure, Family, Comedy",12.902999999999999,2012-04-27,The Pirates! In an Adventure with Scientists!,6.4,572
Drama,12.829,2012-09-14,The Master,7.1,1323
Comedy,12.817,2012-06-15,That's My Boy,5.5,831
"Drama, Horror, Thriller",12.780999999999999,2012-02-03,The Woman in Black,6.1,2122
"History, Drama",12.693,2012-11-16,Lincoln,6.8,2261
"Animation, Horror",12.597000000000001,2012-09-25,Resident Evil: Damnation,6.4,321
Comedy,12.592,2012-05-16,The Dictator,6.0,3042
"Science Fiction, Drama, Thriller",12.556,2012-02-02,Chronicle,6.7,3084
"Action, Fantasy, Horror",12.498,2012-06-22,Abraham Lincoln: Vampire Hunter,5.6,2009
"Crime, Action, Thriller",12.484000000000002,2012-08-24,Premium Rush,6.2,1244
"Drama, Comedy, Romance",12.43,2012-05-04,LOL,6.1,1810
"Thriller, Action, Drama, Crime",12.357000000000001,2012-01-13,Contraband,6.2,1114
"Romance, Comedy, Drama",12.27,2012-05-18,What to Expect When You're Expecting,5.9,1130
"Action, Thriller, War",12.197000000000001,2012-02-24,Act of Valor,6.3,583
"Crime, Drama",12.147,2012-08-29,Lawless,7.0,1660
"Drama, Thriller",12.14,2012-09-14,Arbitrage,6.2,459
"Action, Thriller, Crime, Drama",12.088,2012-05-01,Get the Gringo,6.5,820
"Action, Comedy, Romance",12.017000000000001,2012-02-17,This Means War,6.0,2096
"Animation, Family",11.92,2012-03-01,The Lorax,6.4,1817
Drama,11.692,2012-11-02,Flight,6.7,3582
"Horror, Thriller, Comedy",11.544,2012-06-01,Piranha 3DD,4.2,509
"Comedy, Drama, Music, Romance",11.369000000000002,2012-06-15,Rock of Ages,6.1,686
"Comedy, Family",11.36,2012-08-03,Diary of a Wimpy Kid: Dog Days,6.2,440
"Crime, Thriller",11.298,2012-11-30,Killing Them Softly,6.0,1105
"Action, Thriller, Science Fiction",11.273,2012-04-13,Lockout,5.9,1004
"Action, Thriller, Crime",11.263,2012-01-27,Man on a Ledge,6.3,1460
"Drama, Comedy, Romance",11.25,2012-10-19,The First Time,7.0,1426
"Thriller, Crime, Drama",11.248,2012-09-01,The Iceman,6.5,562
"Drama, Romance, Comedy",11.208,2012-03-09,Salmon Fishing in the Yemen,6.4,499
"Comedy, Crime",10.967,2012-10-12,Seven Psychopaths,6.8,2109
"Horror, Comedy",10.948,2012-01-23,John Dies at the End,6.3,369
"Music, Drama, Romance",10.925,2012-07-27,Step Up Revolution,6.8,1252
"Action, Drama, Thriller, War",10.886,2001-11-30,Behind Enemy Lines,6.1,705
"Romance, Comedy",10.729000000000001,2012-04-27,The Five-Year Engagement,5.8,742
"Thriller, Horror, Fantasy",10.668,2012-03-30,Intruders,5.4,263
"History, Drama",10.458,2012-12-25,Les Misérables,7.4,3283
"Adventure, Animation, Comedy, Family",10.458,2012-02-24,Puss in Boots: The Three Diablos,6.5,213
Comedy,10.265999999999998,2012-08-10,The Campaign,5.7,982
"Action, Comedy",10.265,2012-10-12,Here Comes the Boom,6.0,812
"Drama, Action, Adventure, History, War",10.247,2012-01-11,Red Tails,6.0,256
"Action, Comedy, Science Fiction",10.228,2012-07-27,The Watch,5.4,1356
Comedy,10.124,2012-12-25,Parental Guidance,5.8,276
"Drama, Romance",9.987,2012-11-16,Anna Karenina,6.7,1265
"Action, Thriller, Crime, Mystery",9.962,2012-10-18,Alex Cross,5.1,424
"Comedy, Romance",9.896,2012-02-24,Wanderlust,5.4,693
"Action, Crime, Drama, Thriller",9.87,2012-08-31,Fire with Fire,5.6,339
"Animation, Comedy, Action, Family",9.861,2012-01-13,Tangled Ever After,7.1,651
"Crime, Thriller",9.839,2002-08-06,Blood Work,6.2,356
"Action, Crime, Thriller",9.812999999999999,2012-09-14,Stolen,5.3,559
"Comedy, Crime",9.715,2012-03-02,Project X,6.4,2968
"Comedy, Romance, Fantasy, Drama",9.624,2012-07-25,Ruby Sparks,7.1,906
"Romance, Comedy, Drama",9.562999999999999,2012-06-22,To Rome with Love,5.7,1097
"Comedy, Drama, Family, TV Movie",9.549,2012-02-17,Radio Rebel,6.1,481
Comedy,9.531,2012-02-24,Goon,6.5,491
"Crime, Drama, Thriller",9.491,2012-12-07,Deadfall,5.9,357
"Comedy, Drama",9.42,2013-05-17,Frances Ha,7.4,624
"Action, Comedy, Science Fiction",9.419,2012-03-10,Iron Sky,5.7,840
"Drama, Thriller, Adventure",9.41,2012-04-06,The Hunter,6.7,330
Drama,9.407,2012-11-23,Hitchcock,6.5,827
Comedy,9.357999999999999,2012-04-13,The Three Stooges,5.1,215
"Action, Animation, Thriller",9.341000000000001,2012-02-28,Justice League: Doom,7.3,360
"Thriller, Comedy, Action",9.311,2013-02-01,Stand Up Guys,6.0,462
"Fantasy, Drama, Comedy, Family",9.216000000000001,2012-08-15,The Odd Life of Timothy Green,6.7,605
"Comedy, Romance, Science Fiction, Drama",9.214,2012-06-08,Safety Not Guaranteed,6.9,792
"Comedy, Drama",9.152999999999999,2012-05-11,God Bless America,7.1,532
Drama,9.078,2012-06-29,People Like Us,6.8,360
"Horror, Thriller",9.059,2012-09-21,The Collection,6.1,465
Action,8.994,2012-01-01,So Undercover,6.0,713
"Horror, Thriller",8.978,2012-08-31,The Possession,5.9,918
"Action, Thriller, Mystery",8.974,2012-09-06,The Cold Light of Day,5.1,463
Horror,8.965,2012-10-19,Paranormal Activity 4,5.4,1026
Comedy,8.939,2012-12-19,The Guilt Trip,5.4,403
"Adventure, Drama",8.919,2012-12-21,On the Road,5.6,518
"Crime, Drama, Science Fiction, Thriller",8.833,2000-04-28,Frequency,7.1,791
"Comedy, Romance",8.753,2012-05-18,Hysteria,6.6,459
"Science Fiction, Action, Fantasy",8.747,2012-09-25,Marvel One-Shot: Item 47,6.7,204
"Horror, Thriller",8.72,2012-09-21,House at the End of the Street,5.8,1033
Drama,8.702,2012-12-28,Promised Land,6.2,378
"Drama, Comedy",8.665,2012-05-25,The Best Exotic Marigold Hotel,6.9,756
"Action, Comedy, Crime",8.62,2012-01-27,One for the Money,5.5,615
Drama,8.585,2012-11-02,This Must Be the Place,7.0,589
"Drama, Romance",8.548,2012-09-21,Trouble with the Curve,6.7,613
Horror,8.43,2012-10-12,Grave Encounters 2,5.4,444
"Documentary, Mystery",8.423,2012-07-13,The Imposter,7.4,402
"Comedy, Romance",8.362,2012-03-09,Friends with Kids,5.8,260
"Comedy, Crime",8.353,2012-04-25,Gambit,5.2,366
"Drama, Comedy, Romance",8.312999999999999,2012-08-07,Hope Springs,6.1,429
"Drama, Family, TV Movie, Comedy",8.267000000000001,2012-01-13,Frenemies,5.6,238
"Action, Science Fiction, Thriller",8.257,2012-11-30,Universal Soldier: Day of Reckoning,5.3,192
Thriller,8.25,2012-07-12,Red Lights,6.1,615
"Action, Adventure, Drama",8.197000000000001,2012-02-24,"Tomorrow, When the War Began",6.3,308
"Thriller, Drama, Mystery",8.142999999999999,2012-10-05,The Paperboy,5.5,409
Comedy,8.132,2012-12-21,This Is 40,5.7,1296
"Horror, Thriller, Mystery",8.102,2012-08-06,Truth or Dare,5.6,194
"Comedy, Drama, Romance, Science Fiction",8.092,2012-06-22,Seeking a Friend for the End of the World,6.4,1108
"Romance, Comedy, Drama",8.088,2012-09-14,Liberal Arts,6.3,279
"Horror, Thriller",8.042,2012-05-31,American Mary,6.0,250
"Drama, Comedy",8.017000000000001,2012-03-08,A Thousand Words,6.1,685
"Drama, Thriller",8.016,2012-01-19,Coriolanus,6.0,215
"Comedy, Romance",7.778,2012-12-07,Playing for Keeps,5.6,420
"Horror, Thriller",7.7139999999999995,2012-08-24,The Apparition,4.3,221
Drama,7.702000000000001,2012-08-17,Cosmopolis,5.4,546
"Action, Drama",7.607,2012-04-13,Bad Ass,5.4,194
"Animation, Family, Romance",7.606,2012-11-02,Paperman,8.1,1125
"Drama, Fantasy, Adventure",7.53,2012-06-29,Beasts of the Southern Wild,6.9,605
"Action, Crime, Drama",7.5120000000000005,2012-07-16,The Punisher: Dirty Laundry,7.2,202
"Crime, Drama, Thriller",7.504,2012-07-06,Savages,6.3,1246
"Science Fiction, Comedy, Drama, Crime",7.485,2012-08-16,Robot & Frank,6.9,620
"Action, Comedy, Romance",7.48,2012-08-22,Hit & Run,5.7,312
"Documentary, Music",7.478,2012-07-27,Searching for Sugar Man,7.9,441
"Thriller, Horror",7.403,2012-01-06,The Devil Inside,4.7,441
"Comedy, Drama, Romance",7.285,2012-08-03,Celeste & Jesse Forever,6.5,245
"Drama, Thriller",7.2010000000000005,2012-09-07,The Words,6.6,628
"Thriller, Horror",7.172000000000001,2012-10-05,V/H/S,5.9,604
"Animation, Family",7.165,2012-06-22,La Luna,8.0,389
"Action, Horror, Thriller",7.117000000000001,2012-09-14,Bait,5.5,358
"Drama, Comedy",7.115,2012-06-14,Your Sister's Sister,6.6,192
Comedy,7.072,2012-10-26,Fun Size,5.5,249
"Comedy, Romance",7.05,2012-09-06,Bachelorette,5.4,755
"Horror, Thriller, Crime",7.0360000000000005,2012-01-04,Kill List,6.1,332
"Horror, Thriller",6.984,2012-04-06,ATM,5.1,291
"Drama, Horror",6.973,2012-11-02,Excision,6.0,244
"Drama, Thriller, Crime, Mystery",6.93,2012-08-24,Compliance,6.4,340
"Romance, Drama",6.831,2012-06-08,Bel Ami,5.2,310
"Adventure, Drama, Romance",6.76,2012-02-03,Big Miracle,6.6,250
"Comedy, Drama",6.724,2012-09-14,10 Years,5.8,299
Drama,6.546,2012-10-26,Chasing Mavericks,7.0,329
"Drama, Romance, Comedy",6.46,2012-10-18,The Sessions,6.9,296
"Thriller, Horror",6.442,2012-10-14,Would You Rather,5.8,464
Horror,6.398,2012-09-15,The ABCs of Death,4.8,277
"Drama, Comedy",6.315,2012-06-27,The Angels' Share,7.1,243
Documentary,6.315,2013-03-29,Room 237,6.3,294
"Comedy, Drama",6.246,2012-05-11,Hick,5.7,246
Documentary,6.202000000000001,2012-05-18,Indie Game: The Movie,7.8,259
"Horror, Thriller, Crime",6.2010000000000005,2012-10-02,Chained,6.5,190
"Drama, Documentary",6.015,2012-08-22,Samsara,8.2,276
"Comedy, Romance",5.905,2012-04-20,Think Like a Man,6.9,438
Horror,5.249,2012-10-12,Smiley,4.3,193
"Horror, Science Fiction, Thriller",5.19,2012-11-02,The Bay,5.5,341
"Action, Horror, Science Fiction",1.325,2012-09-14,Resident Evil: Retribution,5.7,2321
"Action, Adventure, Science Fiction",32.093,2013-05-03,Iron Man 3,6.9,14155
"Action, Adventure, Fantasy",31.014,2013-11-08,Thor: The Dark World,6.7,10171
"Crime, Drama, Comedy",29.518,2013-12-25,The Wolf of Wall Street,7.9,12411
"Science Fiction, Thriller, Drama",27.836,2013-10-04,Gravity,7.2,9586
"Action, Adventure, Fantasy, Science Fiction",27.666999999999998,2013-06-14,Man of Steel,6.5,9758
"Drama, Action, Adventure, Fantasy",25.049,2013-12-25,47 Ronin,6.0,2080
"Science Fiction, Horror, Thriller",24.364,2013-06-06,The Purge,6.2,4797
"Fantasy, Action, Comedy, Crime",21.377,2013-07-19,R.I.P.D.,5.6,2047
"Adventure, Fantasy, Action",21.275,2013-12-13,The Hobbit: The Desolation of Smaug,7.6,7739
"Action, Adventure, Science Fiction",20.487,2013-05-16,Star Trek Into Darkness,7.4,6182
"Animation, Family",20.33,2013-06-21,Monsters University,7.0,6362
"Adventure, Action, Science Fiction",20.187,2013-11-22,The Hunger Games: Catching Fire,7.4,11170
"Animation, Comedy, Family",19.014,2013-07-03,Despicable Me 2,6.9,7319
"Horror, Thriller",18.886,2013-07-19,The Conjuring,7.5,5912
"Action, Science Fiction, Adventure, Mystery",18.534000000000002,2013-04-18,Oblivion,6.5,6850
Comedy,18.519000000000002,2013-05-23,The Hangover Part III,6.1,5130
"Comedy, Romance",18.365,2013-08-16,Austenland,6.6,283
"Animation, Family, Comedy",18.335,2013-09-27,Cloudy with a Chance of Meatballs 2,6.4,1679
"Horror, Thriller",18.256,2013-01-04,Texas Chainsaw 3D,5.3,780
"Action, Thriller",17.88,2013-10-18,Escape Plan,6.7,2799
"Science Fiction, Action, Drama, Thriller",17.663,2013-08-09,Elysium,6.4,5406
"Action, Crime, Thriller",17.574,2013-02-01,Bullet to the Head,5.4,681
"Science Fiction, Action, Thriller",17.434,2013-09-06,Riddick,6.2,2852
